R10013,10013,1032,5,"Great quality, fast shipping, love my new wardrobe!",2019-01-15
R10027,10027,1019,4,"Perfect fit, exceptional service. Highly recommended.",2022-11-10
R10035,10035,1029,1,bad product,2016-07-05
R10003,10003,1017,3,"Comfortable, trendy, fantastic selection. Impressed!",2022-10-30
R10016,10016,1008,3,,2018-02-03
R10010,10010,1040,5,"Chic designs, fast delivery, overall excellent experience.",2016-08-21
R10033,10033,1041,5,,2018-03-08
R10036,10036,1017,4,"Quality clothes, prompt service. Will shop here again!",2018-03-27
R10031,10031,1031,5,"Quick shipping, excellent products. Very happy customer.",2020-09-23
R10005,10005,1019,4,,2021-05-29
R10029,10029,1030,2,,2017-06-20
R10008,10008,1028,3,"Fantastic quality, accurate sizes, and quick delivery.",2018-06-02
R10032,10032,1009,4,"Amazing service, quality clothes. Highly recommend this store!",2022-09-26
R10002,10002,1031,2,,2019-02-28
R10019,10019,1002,4,"Excellent clothes, prompt delivery. Will shop here regularly.",2016-03-01
R10026,10026,1033,5,,2018-12-06
R10025,10025,1004,3,"Easy shopping, great prices, and fashionable choices.",2018-04-21
R10011,10011,1040,4,"Great value, trendy styles. Thrilled with my purchases!",2020-04-23
R10022,10022,1010,1,,2017-08-14
R10024,10024,1043,3,"Affordable, stylish, quick delivery. Very satisfied!",2019-10-26
R10013,10013,1032,5,"Great quality, fast shipping, love my new wardrobe!",2019-01-15
