 CATWALK88,FeatherFit Feather-Print Shirt,"Light, breezy, trendy, nature-inspired, perfect for casual elegance.",ElysianAttire Women's Edition,F,"S,M,L,XL,XXL,XXXL",120,699,8600
 GARMENTS234,UrbanEdge Denim Jacket,"Urban-cool denim jacket, exuding style with modern city edge",UrbanVogue Men,M,"S,M,L,XL,XXL,XXL",250,500,40000
 TAILORMADE111,RainbowRide Children's Rainbow Shirt,"Vibrant, playful, comfy, joyful, perfect for happy little adventurers",VastrVoyage Kids' Line,K,8-12 yrs,250,850,4123
 CHICCREATION123,LushLinen Crop Top,null,SwarnimGarb Women's Line,F,"S,M,L,XL",256,480,null
 COUTURE777,DashDenim Skinny Jeans,"Stylish, comfortable, versatile, perfect fit, essential wardrobe staple",ModaMix Menswear,M,"S,M,L,XL,XXL,XXXL",329,1550,null
 RUNWAY222,FlutterFlair Lace Top,"Delicate, elegant, feminine, charming, versatile, perfect for graceful looks",TrendSavvy Women's Couture,F,"S,M,L,XL,XXL,XXXL",358,499,45601
 FABRICHIC999,SoireeSilhouette Evening Dress,"Glamorous, elegant, timeless, sophisticated, perfect for special occasions.",VastrMix Women’s Apparel,F,"S,M,L,XL,XXL",365,925,8946
 TRENDY7890,ModishFusion Midi Skirt,"Stylish, versatile midi skirt blending modern patterns for trendy elegance",EnigmaWear Femme,F,"S,M,L,XL,XXL,XXL",412,599,85000
 FIBERFASHION777,FlexFrame Frame Tee,"Lightweight, breathable, flexible, trendy, perfect for active lifestyles.",IndigoThreads Gents,M,"S,XL,XXL,XXXL",413,690,78400
 FABRICATE11,TwinkleTots Kids' Glitter Top,"Sparkling, playful, comfy, trendy, ideal for joyful little fashionistas.",EtherealEclipse Kids' Line,K,1-12 yrs,416,899,62803
 CLOSET123,SereneSway Maxi Dress,"Elegant, flowing, feminine, perfect for special occasions",EquinoxApparel for Women,F,"XL,XXL,XXL",419,499,36450
 GARBCRAFT22,EchoElegance Wrap Skirt,"Stylish, versatile, flowy, comfortable, perfect for effortless elegance.",ParidhanStitch Women's Wear,F,"L,XL,XXL",419,899,148975
 WEARABLEART123,ZephyrZip Windbreaker,"Lightweight, windproof, versatile, stylish, perfect for outdoor adventures.",PehchaanPurush Men's Collection,M,"S,M,L,XL,XXXL",428,1520,null
 GARMENTGLOW123,MysticMesh Maxi Skirt," Ethereal, lightweight, versatile, stylish, perfect for enchanting looks.",ParidhanStitch Women's Wear,F,"XL,XXL,XXL",450,780,null
 DESIGNER001,LittleExplorer Kids' Adventure Pants,"Durable, adjustable, outdoor-ready, perfect for young explorers' adventures.",SereneSprites Children's Collection,K,"S,M,L,XL,XXL",451,2000,5036
 THREADTHRIVE567,LoungeLuxe Loungewear Set,"Cozy, stylish, comfortable, versatile, perfect for relaxed elegance.",VisheshFashions for Him,M,"S,M,L,XL,XXL,XXL",452,1469,45211
 CLOTHESLINE999,SummitSweat Sweatshirt,null,SamarthAttire Man Edition,M,"M,L,XL,XXL,XXXL",480,1475,456987
 FABFASHION22,TempoTrend Track Jacket,"Sleek design, comfort, style for active lifestyles",CelestialChic for Him,M,"S,M,XXL,XXL",496,550,46000
CLO1234,WhisperWeave Summer Dress,"Airy, elegant summer dress with gentle, flowing WhisperWeave fabric",UrbanVogue Women,F,"S,M,L,XL",500,800,1000
 CUTEWEAR555,SwiftStride Running Shorts,"Performance-driven, sleek running shorts for swift, comfortable athletic endeavors",NovaThreads Gentlemen,M,"M,L,XL,XXL,XXL",523,699,15000
 FABULOUSFIBER555,SprintStyle Cycling Jersey,"Lightweight, breathable, aerodynamic, stylish, ideal for avid cyclists.",UtkarshWear Co.,M,"S,M,XXL,XXL",560,1499,754
 THREADS876,StellarGlam Sequin Top,"Modern, lightweight, versatile, ideal for active fashion enthusiasts",ElysianAttire Women's Edition,F,"S,M,L,XL,XXL,XXL",569,650,8500
 SEWCHIC789,CozyCritter Kids' Animal Onesie,null,KineticKiddos Kids' Corner,K,5-10 yrs,584,699,null
 STYLE9901,CoastalBreeze Linen Shirt,"Breezy, lightweight linen shirt, perfect for relaxed coastal summer vibes",ZephyrStyle Woman,F,"S,XXL,XXL",600,800,5000
 GARBFAB444,SprintStyle Cycling Jersey,null,VerveFashions for Her,F,"S,M,L,XL",600,950,45692
 THREADTREND123,AdventureAwaits Kids' Exploration Jacket,null,UrbanRascals Kids' Edition,K,6-12 yrs,645,799,89745
 FASHIONFAB321,PlayfulPals Kids' Dungarees,"Comfortable, durable, cute, adjustable, ideal for active play.",UtsavUllas Junior Edition,K,1-5 yrs,650,1350,51246
 STYLISH22,StudioStitch Artist Smock,"Stain-resistant, adjustable, durable, ideal for creative young artists.",SereneStitch Men's Collection,M,"S,M,L,XL,XXL,XXXL",654,1500,4560
 CHARMWEAR333,LunaLuxe Satin Blouse,"Elegant, luxurious, smooth, versatile, perfect for sophisticated style",SartorialEdge Ladies’ Clothing,F,"S,M,L,XL,XXL,XXXL",658,800,null
 FIBERFANTASY22,MiniChic Children's Dress Shirt,"Crisp, stylish, comfortable, playful prints, perfect for formal occasions.",VisheshVibes Kids' Wear,K,1-6 yrs,690,1325,14789
 STITCHED333,FunFlex Boys' Playtime Pants,null,VisheshVibes Kids' Wear,K,1-12 yrs,700,1490,147895
 CLOTHCRAFT555,CascadeCotton Culottes,"Flowy, comfortable, versatile, breathable, perfect for stylish casual wear.",SamarthAttire Man Edition,M,"M,L,XL,XXL,XXXL",712,899,47895
 GLAMOUR456,CozyCub Kids' Winter Jacket,"Warm, waterproof, durable, playful designs, cold-defying comfort.",StellarSprouts Kids,K,"S,M,L,XL,XXL,XXL",713,899,95043
 FASHIONFLARE567,MiniChic Children's Dress Shirt,null,RangRipple Kids' Threads,K,2-5 yrs,750,1753,9856
 GARMENTGURU888,GracefulGlide Pleated Skirt," Elegant, flowing, versatile, chic, perfect for graceful styles",VisheshFashions for Her,F,"S,M,L,XL,XXL",756,1800,45613
 FASHIONISTA007,CozyCub Kids' Winter Jacket," Warm, waterproof, durable, playful designs, cold-defying comfort.",AuroraBuddies Children's Collection,K,2-9 yrs,765,1466,14580
 STYLISTIC234,UrbanFusion Denim Vest,null,NavrangMan Clothing,M,"S,M,XL,XXL,XXXL",781,1299,98740
 DRESSDIVA789,CloudCatcher Kids' Cloud Print Pajamas,null,AdhunikRascals Kids' Edition,K,1-12 yrs,788,850,36985
 CHIC1212,AirFlow Mesh Tank Top,"Breathable mesh tank for cool, airy comfort during active pursuits.",UrbanRitzy Men's Collection,M,"S,M,L,XL,XXL",812,1000,100000
 MODA999,DashDenim Skinny Jeans,"Sleek, stretchy, comfortable, trendy, versatile, perfect for any occasion.",VerveFashions for Her,F,"S,M,L,XL,XXL,XXXL",845,1600,8900
 STYLINGSTAR22,PeakPerformance Ski Jacket,null,SwarnimGarb Men's Line,M,"S,M,L,XL,XXL,XXXL",850,2000,10932
 DAPPER678,SwiftSartorial Suit Trousers,"Tailored fit, sharp, comfortable, versatile, essential for formal elegance",FusionFlare Guys' Gear,M,"S,M,L,XL,XXL,XXXL",899,1480,78056
 STITCHSTYLE22,FeatherFit Feather-Print Shirt,null,AdhunikEdge Gent's Fashion,M,"S,M,L,XL,XXL,XXXL",899,1465,78561
 DRESSUP567,DashDenim Skinny Jeans,"Sleek, stretchy, comfortable, trendy, versatile, perfect for any occasion",ReevajWear Male,M,"L,XL,XXL,XXL",900,1599,null
 VOGUE789,BlossomBloom Girls' Floral Dress,"Vibrant blooms, twirl-worthy, charming, perfect for joyful occasions.",RadiantRascals Junior Threads,K,"S,M",945,1200,74562
 TEXTILETREND444,VelvetVibe Velvet Blazer,"Luxurious, elegant, soft, versatile, ideal for sophisticated ensembles",AdhunikEdge Ladies’ Clothing,F,"S,M,XXL,XXXL",950,1365,null
 CLOTHOLOGY555,BlossomBloom Girls' Floral Dress,"Vibrant blooms, twirl-worthy, charming, perfect for joyful occasions.",TrendyTots Kids’ Gear,K,1-10 yrs,999,1350,4130
 FASH5678,FlexFit Sports Leggings,"Dynamic, flexible sports leggings for active comfort during workouts.",NovaThreads Ladies,F,"S,M,L,XL,XXL,XXL",1000,2000,2000
 STYLESENSE555,UrbanChic Utility Jacket,"Stylish, versatile, functional, modern, perfect for urban adventures.",SwaDeshApparel for Men,M,"S,M,XL,XXL",1000,2000,45698
 URBANWEAR333,SwiftSprout Toddler Overalls,"Comfortable, durable, playful, perfect for adventurous little ones",NovaNest Kids' Wear,K,1-12 yrs,1200,1500,32000
 CATWALK88,FeatherFit Feather-Print Shirt,"Light, breezy, trendy, nature-inspired, perfect for casual elegance.",ElysianAttire Women's Edition,F,"S,M,L,XL,XXL,XXXL",120,699,8600
